gpu_name,gpu_chip,released_date,bus,mem_size(GB),mem_type,mem_bus(bit),mem_clock(MHz),gpu_clock(MHz),shaders,TMUs,ROPs,price($)
GeForce RTX 4070,AD104,12-04-2023,PCIe 4.0 x16,12,GDDR6X,192,1313,1920,5888,184,64,599.0
GeForce RTX 4090,AD102,20-09-2022,PCIe 4.0 x16,24,GDDR6X,384,1313,2235,16384,512,176,1599.0
GeForce RTX 3060 12 GB,GA106,12-01-2021,PCIe 4.0 x16,12,GDDR6,192,1875,1320,3584,112,48,329.0
GeForce RTX 3060 Ti,GA104,01-12-2020,PCIe 4.0 x16,8,GDDR6,256,1750,1410,4864,152,80,399.0
GeForce RTX 4060 Ti 8 GB,AD106,18-05-2023,PCIe 4.0 x8,8,GDDR6,128,2250,2310,4352,136,48,399.0
Radeon RX 580,Polaris 20,18-04-2017,PCIe 3.0 x16,8,GDDR5,256,2000,1257,2304,144,32,229.0
Radeon RX 6700 XT,Navi 22,03-03-2021,PCIe 4.0 x16,12,GDDR6,192,2000,2321,2560,160,64,479.0
Radeon RX 7600,Navi 33,24-05-2023,PCIe 4.0 x8,8,GDDR6,128,2250,1720,2048,128,64,269.0
GeForce RTX 4070 Ti,AD104,03-01-2023,PCIe 4.0 x16,12,GDDR6X,192,1313,2310,7680,240,80,799.0
GeForce RTX 3070,GA104,01-09-2020,PCIe 4.0 x16,8,GDDR6,256,1750,1500,5888,184,96,499.0
Radeon RX 6600,Navi 23,13-10-2021,PCIe 4.0 x8,8,GDDR6,128,1750,1626,1792,112,64,329.0
Radeon RX 5700 XT,Navi 10,07-07-2019,PCIe 4.0 x16,8,GDDR6,256,1750,1605,2560,160,64,399.0
GeForce RTX 2060,TU106,07-01-2019,PCIe 3.0 x16,6,GDDR6,192,1750,1365,1920,120,48,349.0
Radeon RX 7900 XTX,Navi 31,03-11-2022,PCIe 4.0 x16,24,GDDR6,384,2500,1855,6144,384,192,999.0
GeForce RTX 4080,AD103,20-09-2022,PCIe 4.0 x16,16,GDDR6X,256,1400,2205,9728,304,112,1199.0
GeForce RTX 4060,AD107,18-05-2023,PCIe 4.0 x8,8,GDDR6,128,2125,1830,3072,96,32,299.0
GeForce RTX 3080,GA102,01-09-2020,PCIe 4.0 x16,10,GDDR6X,320,1188,1440,8704,272,96,699.0
GeForce GTX 1660 SUPER,TU116,29-10-2019,PCIe 3.0 x16,6,GDDR6,192,1750,1530,1408,88,48,229.0
GeForce GTX 1650,TU117,23-04-2019,PCIe 3.0 x16,4,GDDR5,128,2001,1485,896,56,32,149.0
GeForce GTX 1080 Ti,GP102,10-03-2017,PCIe 3.0 x16,11,GDDR5X,352,1376,1481,3584,224,88,699.0
Radeon RX 6800 XT,Navi 21,28-10-2020,PCIe 4.0 x16,16,GDDR6,256,2000,1825,4608,288,128,649.0
GeForce GTX 1060 6 GB,GP106,19-07-2016,PCIe 3.0 x16,6,GDDR5,192,2002,1506,1280,80,48,299.0
Radeon RX 6600 XT,Navi 23,30-07-2021,PCIe 4.0 x8,8,GDDR6,128,2000,1968,2048,128,64,379.0
